75397	Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.	Nikolaj_Coster-Waldau	7	He then played Detective John Amsterdam in the short-lived Fox television series New Amsterdam -LRB- 2008 -RRB- , as well as appearing as Frank Pike in the 2009 Fox television film Virtuality , originally intended as a pilot .	1
75397	Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.	Nikolaj_Coster-Waldau	8	He became widely known to a broad audience for his current role as Ser Jaime Lannister , in the HBO series Game of Thrones .	2
75397	Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.	Fox_Broadcasting_Company	0	The Fox Broadcasting Company -LRB- often shortened to Fox and stylized as FOX -RRB- is an American English language commercial broadcast television network that is owned by the Fox Entertainment Group subsidiary of 21st Century Fox .	2
75397	Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.	Nikolaj_Coster-Waldau	9	In 2017 , he became one of the highest paid actors on television and earned # 2 million per episode of Game of Thrones .	2
75397	Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.	Nikolaj_Coster-Waldau	3	Since then he has appeared in numerous films in his native Scandinavia and Europe in general , including Headhunters -LRB- 2011 -RRB- and A Thousand Times Good Night -LRB- 2013 -RRB- .	2
150448	Roman Atwood is a content creator.	Roman_Atwood	0	Roman Bernard Atwood -LRB- born May 28 , 1983 -RRB- is an American YouTube personality , comedian , vlogger and pranker .	1
150448	Roman Atwood is a content creator.	Roman_Atwood	4	His prank videos have gained over 1.4 billion views and 10.3 million subscribers .	2
150448	Roman Atwood is a content creator.	Roman_Atwood	3	He also has another YouTube channel called `` RomanAtwood '' , where he posts pranks .	1
150448	Roman Atwood is a content creator.	Roman_Atwood	2	His vlogging channel , `` RomanAtwoodVlogs '' , has a total of 3.3 billion views and 11.9 million subscribers .	1
150448	Roman Atwood is a content creator.	Roman_Atwood	1	He is best known for his vlogs , where he posts updates about his life on a daily basis .	1
214861	History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.	History_of_art	2	The subsequent expansion of the list of principal arts in the 20th century reached to nine : architecture , dance , sculpture , music , painting , poetry -LRB- described broadly as a form of literature with aesthetic purpose or function , which also includes the distinct genres of theatre and narrative -RRB- , film , photography and graphic arts .	1
214861	History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.	Narrative	7	Narrative is found in all forms of human creativity , art , and entertainment , including speech , literature , theatre , music and song , comics , journalism , film , television and video , radio , gameplay , unstructured recreation , and performance in general , as well as some painting , sculpture , drawing , photography , and other visual arts -LRB- though several modern art movements refuse the narrative in favor of the abstract and conceptual -RRB- , as long as a sequence of events is presented .	2
214861	History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.	Art_history	1	This includes the `` major '' arts of painting , sculpture , and architecture as well as the `` minor '' arts of ceramics , furniture , and other decorative objects .	2
214861	History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.	History_of_art	0	The history of art is the history of any activity or product made by humans in a visual form for aesthetical or communicative purposes , expressing ideas , emotions or , in general , a worldview .	2
214861	History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.	History_of_art	15	Prizes such as the Turner of the Tate Gallery , the Wolf Prize in Arts , the Pritzker Prize of architecture , the Pulitzer of photography and the Oscar of cinema also promote the best creative work on an international level .	2
156709	Adrienne Bailon is an accountant.	Adrienne_Bailon	0	Adrienne Eliza Houghton -LRB- née Bailon ; born October 24 , 1983 -RRB- is an American singer-songwriter , recording artist , actress , dancer and television personality .	2
156709	Adrienne Bailon is an accountant.	Adrienne_Bailon	13	Bailon co-stars alongside television personality , model and actress Julissa Bermudez in their own reality series , Empire Girls : Julissa and Adrienne which airs on the Style Network .	2
156709	Adrienne Bailon is an accountant.	Adrienne_Bailon	17	Currently , Bailon is one of the hosts of syndicated talk show The Real along with former fellow Disney Channel star Tamera Mowry , Jeannie Mai , and Loni Love , which premiered on July 15 , 2013 .	2
156709	Adrienne Bailon is an accountant.	Adrienne_Bailon	1	Adrienne Bailon first became publicly known when she rose to fame as one of the founding members and singer of both 3LW -LRB- 1999 -- 2007 -RRB- and Disney 's The Cheetah Girls -LRB- 2003 -- 2008 -RRB- .	2
156709	Adrienne Bailon is an accountant.	Adrienne_Bailon	10	Bailon has established a solo music career , contributing two solo tracks , including `` What If '' , to The Cheetah Girls : One World soundtrack as well as the Confessions of a Shopaholic soundtrack , and numerous other guest musical ventures .	2
83235	System of a Down briefly disbanded in limbo.	System_of_a_Down	6	The group briefly disbanded in August 2006 and reunited in November 2010 , embarking on a tour for the following three years .	2
83235	System of a Down briefly disbanded in limbo.	Limbo_-LRB-video_game-RRB-	0	Limbo is a puzzle-platform video game developed by independent studio Playdead .	2
